Date,User,Tweet
2022-10-27 00:28:01+00:00,drkarchee,Absolute fact 💯👌🏽.. There are no other stooges or minions at his disposal other than the ones he already donated to this Buhari government. https://t.co/opjjqSdYea
2022-10-27 00:25:53+00:00,TryNaija,Buhari woos Korean investors to Nigeria | The Guardian Nigeria News – Nigeria and World News — Nigeria – Guardian Nigeria https://t.co/79gXEuhYo0
2022-10-27 00:25:38+00:00,The_GuyTee,i don die https://t.co/5e9DEpGXSx
2022-10-27 00:25:10+00:00,SinachiSkiz,@DOlusegun We reject this incoming failure Insha allah 🙏
2022-10-27 00:22:17+00:00,patibeawuchi2,"OBIdient and Yusful we move ❤.   Atiku never visited IDPs, @PeterObi came and visited IDPs - Gov. Ortom. https://t.co/QW6nbp3HAf"
2022-10-27 00:21:22+00:00,Stella89245956,Nor be small thing oooo https://t.co/Jibw0QO4ll
2022-10-27 00:18:45+00:00,Bunikemm,@EzechiEmeka @olisametuh @osita_chidoka @_weyimi @magnificdude @valentineozigbo @PeterObi ObiDient is a movement for Better Nigeria that Adopted ObiDatti to administer Nigeria. Whoever it pleases should join. We no Dey Give Shishi
2022-10-27 00:17:52+00:00,TryNaija,Nigeria ranks among lowest consumers of cooking gas in Sub-Saharan Africa -NNPC – Daily Sun https://t.co/ypsdGCExDS
2022-10-27 00:17:17+00:00,OnwePeter8,@EzechiEmeka @olisametuh @osita_chidoka @_weyimi @magnificdude @valentineozigbo @PeterObi If he joins obidient how many years would you retrain him to be truly obidient ?
2022-10-27 00:11:44+00:00,DairusMac,This is a lesson for some of us https://t.co/sZc4WUnpwl
2022-10-27 00:10:30+00:00,famouson17,@kjLofAfrica @akintollgate Almost everyone I know in Unilag are obidient.
2022-10-27 00:09:25+00:00,ObidientOG,"FLIRT WITH BEAUTY, Rufai, N500, Abike Dabiri, Fake nikes https://t.co/fSWZOFVACM"
2022-10-27 00:08:54+00:00,TryNaija,Nigeria's digital quality of life falls as Internet affordability drops – Guardian Nigeria https://t.co/bZ2ww9zG1z
2022-10-27 00:08:54+00:00,DairusMac,Boom 💥 that's what we're expecting https://t.co/BqmM5PQYXf
2022-10-27 00:05:53+00:00,LadyXan_,"@_NocySA You're a phool for failing to read the trash you wrote. Why are y'all so entitled about her personal life to an extent no one cares about her mental health?

IT'S PHYNA'S YEAR CRUISE WITH PHYNA
PHYNA OUR JEWEL
#Phyna𓃰"
2022-10-27 00:05:29+00:00,Iamchrisrockss,@Theoladeledada @mrbayoa1 @betgains Congratulations bro 0125235627 gtb ani Christain
2022-10-27 00:03:34+00:00,Iamchrisrockss,@Belshagy Them say we wey Dey support obi are online voters we no get pvc but e go shock dem
2022-10-27 00:03:33+00:00,dynaxty,@peteralaks The man needs a good bench
2022-10-27 00:03:14+00:00,LadyXan_,"@sayrah_syl @Triciaduchess @Tachaadvocate Exactly! They might deny shopping from him.
Imagine the delusional demons. They shopped from him - yet doesn't want her to associate with him or shop from him. Clowns are clowning séñsēlëssly. None have ever asked question

IT'S PHYNA'S YEAR CRUISE WITH PHYNA
PHYNA OUR JEWEL"
2022-10-27 00:01:08+00:00,EmmanuelEnyia,"It's night time. May God meet us all at our times of need in Jesus name:::: amen. 
I follow back ASAP... Let's get along and be Obidient
#VotePeterObiForPresident2023"
2022-10-27 00:01:02+00:00,Iamchrisrockss,@Belshagy Ur president not mine
2022-10-26 23:59:23+00:00,LEONZY352,@AbuAmmarAb @SamuelObamen @fkeyamo The market women and the so called grassroots will have to go back to school to understand what a candidate can do for them right? You’re joking! A candidate that can’t pass his views without citizens looking for dictionary isn’t fit to be a president please!
2022-10-26 23:58:32+00:00,TryNaija,"11 Children Die In School Fire In Central Uganda – Police – Nigeria News October 25, 2022 – NNN NEWS NIGERIA https://t.co/YPMXr53gvZ"
2022-10-26 23:56:45+00:00,realikeonwe,"@Ammaar_Dami @Ronaldofannoone @jon_d_doe So the level of your brain told you that it's cos of the no child thing that we broke up??

Now let me make it clear to you, we didn't break up cos she didn't want a child, and it's my fault that we broke up, what's hard to understand here?"
2022-10-26 23:55:35+00:00,LadyXan_,"You're a phool &amp; senseless pig. Gtf out of her life. She doesn't need pressure &amp; wicked folks like u. Entitled goat acting as if u're the one dt sent her to BBN. Pretender who's always on shippers space. Pls leave Phyna alone.

FOCUSED PHYNA
PHYNA DAUGHTER OF GRACE 
#Phyna𓃰 https://t.co/44zxPBl1Jq"
2022-10-26 23:52:52+00:00,kevinphils,@UdemeOkono Congrats🖤
2022-10-26 23:52:25+00:00,ArcAyakaTorna,@HonNonsoNwankwo @XXX_yyy_zzz147 @Shams41159530 @BashirAhmaad @PeterObi Whos assets? Assets in  offshore accounts. Wisdom. Another Obidient
2022-10-26 23:50:35+00:00,mobrinxmansion,@OlaseniFeyisayo Ouch
2022-10-26 23:50:12+00:00,LadyXan_,"@JeezTruth You're a very wicked person. You're here saying what she didn't say &amp; reading meaning into everything but always on shippers space. To be honest with u @JeezTruth Phyna isn't in a competition with anyone. Stop pressuring &amp; pressurize yourself to start thinking like a human
#Phyna"
2022-10-26 23:49:07+00:00,TryNaija,"Bad leadership recruitment, bane of Nigeria’s development — IPAC – Vanguard https://t.co/lOqtw9qZwZ"
2022-10-26 23:48:26+00:00,Pros4luv,@wetriumphstill @BolanleCole Reverse case🤣🤣
2022-10-26 23:48:10+00:00,ArcAyakaTorna,@omozele10 @ladyAnya29 @prezzion @Onomeh_e You are not.far from being an Obidient. They are not far from invectives as the have a dense and obtuse jar.
2022-10-26 23:46:36+00:00,EfffiongVictor,@HAHayatu Thunder fire your father's testicle
2022-10-26 23:46:07+00:00,kjLofAfrica,@famouson17 @akintollgate Obidient no dey unilag?
2022-10-26 23:44:41+00:00,Jones__JNS,@Officialamaka_ Guy stay wan place.
2022-10-26 23:44:35+00:00,Jones__JNS,@ib_benny5 kfb
2022-10-26 23:44:28+00:00,LadyXan_,"@Radiant8819 They gon crrryyyy that day, even entitled Phynation will cry with the haters."
2022-10-26 23:43:49+00:00,Godwincreat,@StFreakingKezy When did North start using container to carry goods to Onitsha. What happen to their usual trailers? Container i know is used to ship things and any container you see could be coming from the wharf. Please stop this unnecessary tribal hate &amp; fueling false narrations its not good
2022-10-26 23:42:34+00:00,BukiOlabiran1,"@opebanwo @NgLabour @opebanwo, OBIdient movement started long before you joined, and you cleverly worked yourself into PCC. Why are you sowing seeds of discord? Discuss your frustrations with @NgLabour, so that they can recognize your 'efforts', or simply quit.
We need only positive energy here pls"
